CustomerID,Age,Gender,Income,Region,AccountType,AccountBalance,CreditScore,LoanType,LoanAmount,InterestRate,LoanStatus,CustomerTenureYears,NumTransactionsLastMonth,AvgTransactionValue,LastTransactionDate,RiskLevel
CUST00001,23,Male,43972.0,Punjab,Savings,190012.81,645.0,Education Loan,1252015.11,11.37,Approved,1,10,681.64,2026-08-04,Medium Risk
CUST00002,30,Female,33698.0,Punjab,Current,96946.2,635.0,Personal Loan,919166.38,10.8,Approved,14,10,724.68,2026-06-28,Medium Risk
CUST00003,24,Female,33156.0,Sindh,Savings,135737.14,555.0,Car Loan,829131.21,11.0,Closed,7,6,1581.11,2026-07-13,High Risk
CUST00004,33,Male,67342.0,Punjab,Savings,143463.07,669.0,Education Loan,1162922.26,11.18,Approved,8,14,2848.46,2026-07-10,Medium Risk
CUST00005,34,Female,33613.0,Punjab,Salary Account,82081.48,622.0,Home Loan,3661550.58,17.11,Closed,3,7,1923.6,2026-08-10,Medium Risk
CUST00006,55,Female,158707.0,Sindh,Savings,66248.2,712.0,Car Loan,1363198.38,11.87,Approved,7,9,6986.26,2026-08-06,Low Risk
CUST00007,43,Male,88954.0,Islamabad Capital Territory,Fixed Deposit,106881.25,724.0,No Loan,0.0,0.0,No Loan,11,10,3750.11,2026-08-19,Low Risk
CUST00008,19,Female,20000.0,Punjab,Savings,37088.24,609.0,Car Loan,558171.81,21.62,Closed,1,12,1161.62,2026-07-02,Medium Risk
CUST00009,38,Male,43184.0,Sindh,Savings,59554.28,658.0,Home Loan,4928969.75,11.77,Rejected,7,9,3370.77,2026-07-22,High Risk
CUST00010,20,Female,20000.0,Balochistan,Savings,23825.25,625.0,No Loan,0.0,0.0,No Loan,0,12,798.61,2026-06-28,Medium Risk
CUST00011,43,Female,37132.0,Punjab,Salary Account,21896.62,620.0,No Loan,0.0,0.0,No Loan,10,9,2025.52,2026-07-10,Medium Risk
CUST00012,52,Male,62687.0,Islamabad Capital Territory,Salary Account,163796.23,583.0,No Loan,0.0,0.0,No Loan,11,13,1478.84,2026-07-27,Medium Risk
CUST00013,39,Male,76385.0,Punjab,Savings,286836.63,686.0,No Loan,0.0,0.0,No Loan,1,14,5589.24,2026-06-28,Medium Risk
CUST00014,27,Female,51412.0,Sindh,Savings,116050.92,585.0,No Loan,0.0,0.0,No Loan,2,17,1731.75,2026-07-08,Medium Risk
CUST00015,69,Female,93544.0,Sindh,Savings,233217.93,710.0,No Loan,0.0,0.0,No Loan,15,18,5562.57,2026-08-04,Low Risk
CUST00016,36,Female,40288.0,Punjab,Salary Account,80485.43,650.0,No Loan,0.0,0.0,No Loan,5,13,1010.63,2026-07-29,Medium Risk
